tweet,Personal_Attack
@LynetteAgueda1 @safeagain1 @realDonaldTrump @FoxNews @Comey You OBVIOUSLY are NOT paying attention or you are not able to pay attention,1
@RT_com let yt “whine” all he wants 😂😂😂,0
"RT @T8_999: ❥•༺✿┉┈┈
ماني #بمتحسف على كل من راح
الا على اللي شايل #القلب همه ..""

#إهمال https://t.co/p1BKlWFX7N",1
@CNN I hope they roast him about that Trump guy who is a hate Twitter,0
@evanmoore @MindOfCrucifix @FoxNews The cult is strong in this idiot.,0
@haaretzcom Kick his ass,0
@CNN @jack @ReliableSources @brianstelter Wow... He's so ugly 😱,0
@Marksoldbat @FoxNews @KellyannePolls there are more Republicans among the group that signed onto that letter then there are Dems.,0
@MarkLazerus @sryantribune Those pre-packaged kits are legit,0
"@JordanLCameron @GuidoFawkes @AlanDersh All his links ?
Do you mean media smears ?",0
@Independent Hopefully he gets riddled with worms.,0
@IWV @TheJuanWilliams @TheFive @FoxNews @HeyTammyBruce @DanaPerino @greggutfeld @kilmeade Here’s my replay to @The Five,0
"RT @__Arove__: Avec ma mère, obligé... d'ailleurs elle me charie quand je suis incapable d'aligner correctement 2 phrases en créole. Avec m…",0
@GMB @SeanFletcherTV Oh wow.........what the hell do you know? Wolves to be relegated????,0
@Scavino45 @POTUS @realDonaldTrump @FLOTUS @ABCWorldNews @DavidMuir Again all white people,0
@FoxNews @ShepSmithNews SEND SHEP TO CNN !!   Disgusting trouble maker.  So BIASED against Republicans!!   We are n… https://t.co/WCjj2D1tcx,1
@BDUTT Shame on your hate news n fake news.,1
@SInow Serena brought billions to the sport and she gets 0 respect... still nigga... smh... https://t.co/LIMqELl4HU,0
@macaroni1983 @BlackPearlIV @NBCNews You should really be taking your own advice,0
Beauty personified. Well done @EamonnHolmes for showing such kindness. Two superb role models here. https://t.co/zSpCIrJrcC,0
@simonjames67 @Mr_John_Harvey_ @theJeremyVine @waitrose @sidmouthherald I’m a little more worried about bank branches closing /empty shops,0
@ABC It’s nice to see the White House honor law enforcers rather then the past few years or the families of law breakers,0
@sidlowe sending matches to the US might be the only way people here see them! https://t.co/9xiyl8v1uM,0
@TrumpUniverse79 @MSNBC Well maybe you shouldn’t speak for the black community.,0
RT @HendrySorcha: @TIME It makes you speak it better or it makes you think you speak it better those are two very different things.,0
@ABC ABC News conveniently forgot to mention the guy is wanted for MURDER!!!,0
Que atrevidooo https://t.co/JfkATvNRrN,0
